owner,name,stars,url
MunGell,awesome-for-beginners,72900,https://github.com/MunGell/awesome-for-beginners
vuejs,awesome-vue,72744,https://github.com/vuejs/awesome-vue
anuraghazra,github-readme-stats,72349,https://github.com/anuraghazra/github-readme-stats
elastic,elasticsearch,72247,https://github.com/elastic/elasticsearch
vitejs,vite,71882,https://github.com/vitejs/vite
microsoft,ML-For-Beginners,71699,https://github.com/microsoft/ML-For-Beginners
microsoft,playwright,71288,https://github.com/microsoft/playwright
hoppscotch,hoppscotch,70814,https://github.com/hoppscotch/hoppscotch
coder,code-server,70611,https://github.com/coder/code-server
nestjs,nest,70299,https://github.com/nestjs/nest
Anduin2017,HowToCook,70125,https://github.com/Anduin2017/HowToCook
thedaviddias,Front-End-Checklist,69762,https://github.com/thedaviddias/Front-End-Checklist
moby,moby,69499,https://github.com/moby/moby
pallets,flask,69237,https://github.com/pallets/flask
junegunn,fzf,69182,https://github.com/junegunn/fzf
syncthing,syncthing,69136,https://github.com/syncthing/syncthing
hakimel,reveal.js,68638,https://github.com/hakimel/reveal.js
redis,redis,68572,https://github.com/redis/redis
base,node,68524,https://github.com/base/node
Developer-Y,cs-video-courses,68453,https://github.com/Developer-Y/cs-video-courses
swiftlang,swift,68306,https://github.com/swiftlang/swift
binary-husky,gpt_academic,68091,https://github.com/binary-husky/gpt_academic
d2l-ai,d2l-zh,68083,https://github.com/d2l-ai/d2l-zh
enaqx,awesome-react,67514,https://github.com/enaqx/awesome-react
josephmisiti,awesome-machine-learning,67463,https://github.com/josephmisiti/awesome-machine-learning
grafana,grafana,67361,https://github.com/grafana/grafana
protocolbuffers,protobuf,67039,https://github.com/protocolbuffers/protobuf
louislam,uptime-kuma,66758,https://github.com/louislam/uptime-kuma
expressjs,express,66676,https://github.com/expressjs/express
sdmg15,Best-websites-a-programmer-should-visit,66509,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
python,cpython,66130,https://github.com/python/cpython
strapi,strapi,65982,https://github.com/strapi/strapi
tesseract-ocr,tesseract,65894,https://github.com/tesseract-ocr/tesseract
ventoy,Ventoy,65859,https://github.com/ventoy/Ventoy
chartjs,Chart.js,65633,https://github.com/chartjs/Chart.js
apache,superset,65435,https://github.com/apache/superset
webpack,webpack,65170,https://github.com/webpack/webpack
leonardomso,33-js-concepts,64983,https://github.com/leonardomso/33-js-concepts
ansible,ansible,64608,https://github.com/ansible/ansible
swisskyrepo,PayloadsAllTheThings,64407,https://github.com/swisskyrepo/PayloadsAllTheThings
ocornut,imgui,64392,https://github.com/ocornut/imgui
xtekky,gpt4free,63954,https://github.com/xtekky/gpt4free
lydiahallie,javascript-questions,63713,https://github.com/lydiahallie/javascript-questions
sherlock-project,sherlock,63448,https://github.com/sherlock-project/sherlock
obsproject,obs-studio,63287,https://github.com/obsproject/obs-studio
twitter,the-algorithm,63058,https://github.com/twitter/the-algorithm
immich-app,immich,62885,https://github.com/immich-app/immich
Eugeny,tabby,62851,https://github.com/Eugeny/tabby
keras-team,keras,62836,https://github.com/keras-team/keras
fffaraz,awesome-cpp,62791,https://github.com/fffaraz/awesome-cpp
awesomedata,awesome-public-datasets,62699,https://github.com/awesomedata/awesome-public-datasets
caddyserver,caddy,62665,https://github.com/caddyserver/caddy
openai,openai-cookbook,62637,https://github.com/openai/openai-cookbook
kelseyhightower,nocode,62385,https://github.com/kelseyhightower/nocode
FuelLabs,sway,62374,https://github.com/FuelLabs/sway
